fraction, reciprocity, specify
0.9697265625, 0.5302734375, 1.0
0.9697265625, 0.3466796875, 0.0
0.9697265625, 0.5302734375, 0.0
0.9267578125, 0.3466796875, 0.0
0.9267578125, 0.5302734375, 1.0
0.9267578125, 0.5302734375, 0.0
0.2197265625, 0.0966796875, 1.0
0.6767578125, 0.0966796875, 1.0
0.2197265625, 0.2802734375, 1.0
0.2197265625, 0.0966796875, 1.0
0.2197265625, 0.2802734375, 1.0
0.6767578125, 0.0966796875, 1.0
0.6767578125, 0.2802734375, 1.0
0.6767578125, 0.2802734375, 1.0
0.7197265625, 0.5966796875, 0.0
0.1767578125, 0.5966796875, 0.0
0.7197265625, 0.7802734375, 0.0
0.7197265625, 0.5966796875, 0.0
0.7197265625, 0.7802734375, 0.0
0.1767578125, 0.5966796875, 0.0
0.1767578125, 0.7802734375, 0.0
0.1767578125, 0.7802734375, 0.0
0.9697265625, 0.3466796875, 1.0
0.9267578125, 0.3466796875, 1.0
0.9697265625, 0.5302734375, 1.0
0.9697265625, 0.3466796875, 0.0
0.9697265625, 0.5302734375, 0.0
0.9267578125, 0.3466796875, 0.0
0.9267578125, 0.5302734375, 1.0
0.9267578125, 0.5302734375, 0.0
0.4697265625, 0.8466796875, 0.0
0.4267578125, 0.8466796875, 0.0
0.4697265625, 0.0302734375, 0.0
0.4697265625, 0.8466796875, 1.0
0.4697265625, 0.0302734375, 1.0
0.4267578125, 0.8466796875, 1.0
0.4267578125, 0.0302734375, 0.0
0.4267578125, 0.0302734375, 1.0
0.3447265625, 0.4716796875, 0.0
0.3017578125, 0.4716796875, 0.0
0.3447265625, 0.1552734375, 0.0
0.3447265625, 0.4716796875, 1.0
0.3447265625, 0.1552734375, 1.0
0.3017578125, 0.4716796875, 1.0
0.3017578125, 0.1552734375, 0.0
0.3017578125, 0.1552734375, 1.0
0.8447265625, 0.9716796875, 1.0
0.8017578125, 0.9716796875, 1.0
0.8447265625, 0.6552734375, 1.0
0.8447265625, 0.9716796875, 0.0
0.8447265625, 0.6552734375, 0.0
0.8017578125, 0.9716796875, 0.0
0.8017578125, 0.6552734375, 1.0
0.8017578125, 0.6552734375, 0.0
0.5947265625, 0.2216796875, 0.0
0.0517578125, 0.2216796875, 0.0
0.5947265625, 0.9052734375, 0.0
0.5947265625, 0.2216796875, 0.0
0.5947265625, 0.9052734375, 0.0
0.0517578125, 0.2216796875, 0.0
0.0517578125, 0.9052734375, 0.0
0.0517578125, 0.9052734375, 0.0
0.0947265625, 0.7216796875, 1.0
0.5517578125, 0.7216796875, 1.0
0.0947265625, 0.4052734375, 1.0
0.0947265625, 0.7216796875, 1.0
0.0947265625, 0.4052734375, 1.0
0.5517578125, 0.7216796875, 1.0
0.5517578125, 0.4052734375, 1.0
0.5517578125, 0.4052734375, 1.0
0.0634765625, 0.1904296875, 0.0
0.4580078125, 0.1904296875, 0.0
0.0634765625, 0.6240234375, 0.0
0.0634765625, 0.1904296875, 0.0
0.0634765625, 0.6240234375, 0.0
0.4580078125, 0.1904296875, 0.0
0.4580078125, 0.6240234375, 0.0
0.4580078125, 0.6240234375, 0.0
0.5634765625, 0.6904296875, 1.0
0.9580078125, 0.6904296875, 1.0
0.5634765625, 0.1240234375, 1.0
0.5634765625, 0.6904296875, 1.0
0.5634765625, 0.1240234375, 1.0
0.9580078125, 0.6904296875, 1.0
0.9580078125, 0.1240234375, 1.0
0.9580078125, 0.1240234375, 1.0
0.8134765625, 0.4404296875, 0.0
0.2080078125, 0.4404296875, 0.0
0.8134765625, 0.3740234375, 0.0
0.8134765625, 0.4404296875, 1.0
0.8134765625, 0.3740234375, 1.0
0.2080078125, 0.4404296875, 1.0
0.2080078125, 0.3740234375, 0.0
0.2080078125, 0.3740234375, 1.0
0.3134765625, 0.9404296875, 1.0
0.7080078125, 0.9404296875, 1.0
0.2197265625, 0.0966796875, 1.0
0.3134765625, 0.8740234375, 1.0
0.6767578125, 0.0966796875, 1.0
0.2197265625, 0.2802734375, 1.0
0.3134765625, 0.9404296875, 0.0
0.2197265625, 0.0966796875, 1.0
0.3134765625, 0.8740234375, 0.0
0.2197265625, 0.2802734375, 1.0
0.7080078125, 0.9404296875, 0.0
0.6767578125, 0.0966796875, 1.0
0.7080078125, 0.8740234375, 1.0
0.6767578125, 0.2802734375, 1.0
0.6767578125, 0.2802734375, 1.0
0.7080078125, 0.8740234375, 0.0
0.7197265625, 0.5966796875, 0.0
0.4384765625, 0.3154296875, 1.0
0.5830078125, 0.3154296875, 1.0
0.1767578125, 0.5966796875, 0.0
0.4384765625, 0.9990234375, 1.0
0.7197265625, 0.7802734375, 0.0
0.4384765625, 0.3154296875, 0.0
0.7197265625, 0.5966796875, 0.0
0.7197265625, 0.7802734375, 0.0
0.4384765625, 0.9990234375, 0.0
0.1767578125, 0.5966796875, 0.0
0.5830078125, 0.3154296875, 0.0
0.1767578125, 0.7802734375, 0.0
0.5830078125, 0.9990234375, 1.0
0.1767578125, 0.7802734375, 0.0
0.2197265625, 0.0966796875, 1.0
0.5830078125, 0.9990234375, 0.0
0.9697265625, 0.3466796875, 1.0
0.6767578125, 0.0966796875, 1.0
0.9267578125, 0.3466796875, 1.0
0.9384765625, 0.8154296875, 0.0
0.2197265625, 0.2802734375, 1.0
0.9697265625, 0.5302734375, 1.0
0.2197265625, 0.0966796875, 1.0
0.0830078125, 0.8154296875, 0.0
0.2197265625, 0.2802734375, 1.0
0.9697265625, 0.3466796875, 0.0
0.9384765625, 0.4990234375, 0.0
0.6767578125, 0.0966796875, 1.0
0.9697265625, 0.5302734375, 0.0
0.9384765625, 0.8154296875, 1.0
0.6767578125, 0.2802734375, 1.0
0.9267578125, 0.3466796875, 0.0
0.9384765625, 0.4990234375, 1.0
0.6767578125, 0.2802734375, 1.0
0.9267578125, 0.5302734375, 1.0
0.0830078125, 0.8154296875, 1.0
0.7197265625, 0.5966796875, 0.0
0.9267578125, 0.5302734375, 0.0
0.1767578125, 0.5966796875, 0.0
0.0830078125, 0.4990234375, 0.0
0.4697265625, 0.8466796875, 0.0
0.0830078125, 0.4990234375, 1.0
0.7197265625, 0.7802734375, 0.0
0.4267578125, 0.8466796875, 0.0
0.6884765625, 0.0654296875, 1.0
0.7197265625, 0.5966796875, 0.0
0.4697265625, 0.0302734375, 0.0
0.8330078125, 0.0654296875, 1.0
0.7197265625, 0.7802734375, 0.0
0.4697265625, 0.8466796875, 1.0
0.6884765625, 0.2490234375, 1.0
0.1767578125, 0.5966796875, 0.0
0.4697265625, 0.0302734375, 1.0
0.6884765625, 0.0654296875, 1.0
0.1767578125, 0.7802734375, 0.0
0.4267578125, 0.8466796875, 1.0
0.6884765625, 0.2490234375, 1.0
0.1767578125, 0.7802734375, 0.0
0.4267578125, 0.0302734375, 0.0
0.8330078125, 0.0654296875, 1.0
0.9697265625, 0.3466796875, 1.0
0.4267578125, 0.0302734375, 1.0
0.8330078125, 0.2490234375, 1.0
0.9267578125, 0.3466796875, 1.0
0.3447265625, 0.4716796875, 0.0
0.8330078125, 0.2490234375, 1.0
0.9697265625, 0.5302734375, 1.0
0.3017578125, 0.4716796875, 0.0
0.9697265625, 0.3466796875, 0.0
0.3447265625, 0.1552734375, 0.0
0.9697265625, 0.5302734375, 0.0
0.3447265625, 0.4716796875, 1.0
0.9267578125, 0.3466796875, 0.0
0.3447265625, 0.1552734375, 1.0
0.9267578125, 0.5302734375, 1.0
0.3017578125, 0.4716796875, 1.0
0.9267578125, 0.5302734375, 0.0
0.3017578125, 0.1552734375, 0.0
0.4697265625, 0.8466796875, 0.0
0.3017578125, 0.1552734375, 1.0
0.4267578125, 0.8466796875, 0.0
0.8447265625, 0.9716796875, 1.0
1, 0.9, 1.0
0.8017578125, 0.9716796875, 1.0
0.4697265625, 0.0302734375, 0.0
0.8447265625, 0.6552734375, 1.0
0.4697265625, 0.8466796875, 1.0
0.4697265625, 0.0302734375, 1.0
0.8447265625, 0.9716796875, 0.0
0.4267578125, 0.8466796875, 1.0
0.8447265625, 0.6552734375, 0.0
0.4267578125, 0.0302734375, 0.0
0.8017578125, 0.9716796875, 0.0
0.4267578125, 0.0302734375, 1.0
0.8017578125, 0.6552734375, 1.0
0.3447265625, 0.4716796875, 0.0
0.8017578125, 0.6552734375, 0.0
0.3017578125, 0.4716796875, 0.0
0.5947265625, 0.2216796875, 0.0
0.3447265625, 0.1552734375, 0.0
0.0517578125, 0.2216796875, 0.0
0.3447265625, 0.4716796875, 1.0
0.5947265625, 0.9052734375, 0.0
0.3447265625, 0.1552734375, 1.0
0.5947265625, 0.2216796875, 0.0
0.3017578125, 0.4716796875, 1.0
0.5947265625, 0.9052734375, 0.0
0.3017578125, 0.1552734375, 0.0
0.0517578125, 0.2216796875, 0.0
0.3017578125, 0.1552734375, 1.0
0.0517578125, 0.9052734375, 0.0
0.8447265625, 0.9716796875, 1.0
0.0517578125, 0.9052734375, 0.0
0.8017578125, 0.9716796875, 1.0
0.0947265625, 0.7216796875, 1.0
0.8447265625, 0.6552734375, 1.0
0.5517578125, 0.7216796875, 1.0
0.8447265625, 0.9716796875, 0.0
0.0947265625, 0.4052734375, 1.0
0.8447265625, 0.6552734375, 0.0
0.0947265625, 0.7216796875, 1.0
0.8017578125, 0.9716796875, 0.0
0.0947265625, 0.4052734375, 1.0
0.8017578125, 0.6552734375, 1.0
0.0205078125,0.0615234375,  1.0
0.2197265625,0.0966796875,  1.0
0.6767578125,0.0966796875,  1.0
0.0205078125,0.0615234375,  0
0.2197265625,0.2802734375,  0
0.6259765625,0.8779296875,  0
0.2197265625,0.0966796875,  1.0
0.5205078125,0.8779296875,  0
0.6259765625,0.5615234375,  0
0.0205078125,0.0615234375,1
0.39208984375,0.79833984375,1
0.0205078125,0.0615234375,1
0.75244140625,0.97900390625,0
0.2197265625,0.0966796875,1
0.89306640625,0.03271484375,1
0.68896484375,0.61962890625,0
0.39208984375,0.19775390625,1
0.75244140625,0.97900390625,1
0.90771484375,0.58837890625,1
0.0205078125,0.0615234375,0
0.6767578125,0.0966796875,1
0.54931640625,0.68896484375,0
0.90869140625,0.79833984375,1
0.48583984375,0.70458984375,1
0.6259765625,0.8779296875,0
0.2197265625,0.2802734375,1
0.90771484375,0.03271484375,1
0.54931640625,0.61962890625,0
0.25244140625,0.70458984375,1
0.90869140625,0.19775390625,1
0.90771484375,0.58837890625,1
0.5205078125,0.8779296875,0
0.2197265625,0.0966796875,1
0.54931640625,0.61962890625,0
0.48583984375,0.47900390625,1
0.90869140625,0.19775390625,1
0.2197265625,0.2802734375,1
0.89306640625,0.03271484375,1
0.6259765625,0.5615234375,0
0.93896484375,0.43896484375,1
0.26708984375,0.42333984375,1
0.48583984375,0.70458984375,0
0.6259765625,0.8779296875,1
0.89306640625,0.58837890625,1
0.6767578125,0.0966796875,1
0.29931640625,0.43896484375,1
0.78369140625,0.42333984375,1
0.48583984375,0.47900390625,0
0.6259765625,0.5615234375,1
0.89306640625,0.58837890625,1
0.5,0.5,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.5,0.5,0
0.1,0.9,0
0.1,0.9,0
0.1,0.9,0
0.1,0.9,0
0.1,0.9,0
0.1,0,0
0.1,0,0
0.1,0,0
0.1,0,0
0.1,0,0
0.1,0,0
0.1,0,0
0.1,0,1
0.1,0,1
0.1,0,0
0.1,0,1
0.1,0,1
0.1,0,1
1,0,1
1,0,0
1,0,0
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0.9,1
1,0.9,1
1,0.9,1
1,0.9,1
1,0.9,1
1,0.5,1
1,1,0
